Training_Id,File
43778,src/styles/images/source/720x1280-normalizedNames/00_split_handler_bg.9.png
80792,examples/spectrum/app/spectrumanalyser.h
17992,src/qml/jsruntime/qv4mathobject.cpp
43778,src/styles/images/720x1280/black/00_list_group_bg_ef.9.png
80792,src/imports/multimedia/qdeclarativevideooutput_p.h
39505,src/uml/qumlregion.cpp
57002,src/uml/qdecisionnode.h
109292,tests/auto/gui/image/qpixmapcache/qpixmapcache.pro
5202,src/shared/qbs
71550,src/serialportinfo_win.cpp
109292,tests/auto/gui/image/qpixmap/images/dx_10_dy_10_x_y_w_h.png
43093,src/plugins/blackberry/blackberry_mediaservice.json
75297,src/quick/scenegraph/util/qsgdistancefieldutil.cpp
76172,src/quick/items/qquickitemview.cpp
57002,src/uml/qcomment.h
6735,src/quick/doc/src/concepts/effects/sprites.qdoc
57002,src/uml/qmultiplicityelement.h
57002,src/uml/qtemplateableelement.cpp
80792,src/multimedia/audio/qaudiosystem.cpp
18999,src/core/core-components/core-components.pri
80792,examples/video/qmlvideo/qml/qmlvideo/VideoOverlay.qml
109292,tests/auto/gui/painting/qpainter/drawPixmap_rop/res/res_NotROP0.png
92846,src/libs/sqlite/source/sqlitedatabasebackend.h
55435,src/lib/logging/logger.cpp
6605,projects/QtWayland_dev_Integration/stages/linux-g++_developer-build_OpenSuSE_13.1_x64/environment/QMAKEFLAGS
88661,translations/designer_uk.ts
43778,src/styles/images/720x1280/white/00_toolbar_button_ef_press.9.sci
107330,src/plugins/gstreamer/qgstreameravailabilitycontrol.h
88851,src/gui/kernel/qplatforminputcontext_qpa.cpp
80792,examples/video/qmlvideofx/qmlapplicationviewer/qmlapplicationviewer.h
57469,Source/sync.profile
43778,src/styles/images/source/720x1280-normalizedNames/white/00_toolbar_button.9.sci
80792,src/plugins/v4l/v4lserviceplugin.h
41418,projects/QtGraphicalEffects_release_Integration/stages/macx-clang_developer-build_OSX_10.8/forcesuccess
72770,src/client/qjsondbreadrequest.cpp
65671,src/plugins/git/gitplugin.h
93304,jenkins/qt-jenkins-packaging-nodes.ini
99252,src/plugins/qmlprofiler/qmlprofilerdetailsrewriter.cpp
80792,src/plugins/directshow/player/directshowmediatype.h
15387,examples/macextras/macfunctions/doc/src/qtmacextras-example-macfunctions.qdoc
80792,doc/src/audiooverview.qdoc
63020,examples/widgets/itemviews/editabletreemodel/treeitem.h
88274,tests/auto/corelib/kernel/qitemmodel/modelstotest.cpp
43778,src/styles/images/source/720x1280-normalizedNames/black/00_overscrolling_bottom.9.png
17992,src/qml/jsruntime/qv4jsonobject.cpp
14362,demos/qtdemo/demotextitem.cpp
11140,tests/auto/integration/tst_integration.cpp
18331,tests/auto/extensionsystem/pluginmanager/circularplugins/plugin2/plugin2.qbs
64863,doc/src/projects/creator-projects-settings-overview.qdoc
55435,src/lib/language/scope.cpp
77348,config.tests/qws/sound/sound.pro
57002,src/uml/qcentralbuffernode.cpp
12020,src/plugins/qtsupport/baseqtversion.h
7150,src/qml/jsruntime/qv4qobjectwrapper.cpp
85967,src/corelib/thread/qmutex_win.cpp
74800,doc/src/qtgraphicaleffects-huesaturation.qdoc
12821,tests/auto/quick/html/scroll.html
43778,src/styles/images/source/720x1280-normalizedNames/white/00_contacts_button_bg_press_ef.9.sci
